Bol013451  locus=Scaffold000186:16429:18154:+,Bol013451  locus=Scaffold000186:16429:18154:+,Bol013451  locus=Scaffold000186:16429:18154:+,Bol013451  locus=Scaffold000186:16429:18154:+
Bol013453  locus=Scaffold000186:32247:35961:+,Bol013454  locus=Scaffold000186:36714:44595:-,Bol013453  locus=Scaffold000186:32247:35961:+,Bol013454  locus=Scaffold000186:36714:44595:-
Bol013454  locus=Scaffold000186:36714:44595:-,Bol013459  locus=Scaffold000186:100780:102754:-,Bol013454  locus=Scaffold000186:36714:44595:-,Bol032388  locus=Scaffold000049:1518868:1522123:+
Bol013459  locus=Scaffold000186:100780:102754:-,Bol013463  locus=Scaffold000186:131598:132695:-,Bol032388  locus=Scaffold000049:1518868:1522123:+,Bol013459  locus=Scaffold000186:100780:102754:-
Bol013463  locus=Scaffold000186:131598:132695:-,Bol013465  locus=Scaffold000186:181456:184762:+,Bol013459  locus=Scaffold000186:100780:102754:-,Bol032398  locus=Scaffold000049:1566891:1570094:+
Bol013465  locus=Scaffold000186:181456:184762:+,Bol013468  locus=Scaffold000186:189504:193124:-,Bol032398  locus=Scaffold000049:1566891:1570094:+,Bol013465  locus=Scaffold000186:181456:184762:+
Bol013468  locus=Scaffold000186:189504:193124:-,Bol013473  locus=Scaffold000186:242573:243212:+,Bol013465  locus=Scaffold000186:181456:184762:+,Bol013468  locus=Scaffold000186:189504:193124:-
Bol013473  locus=Scaffold000186:242573:243212:+,Bol013475  locus=Scaffold000186:251510:252602:-,Bol013468  locus=Scaffold000186:189504:193124:-,Bol032404  locus=Scaffold000049:1617185:1618234:+
Bol013475  locus=Scaffold000186:251510:252602:-,Bol013476  locus=Scaffold000186:268422:273339:+,Bol032404  locus=Scaffold000049:1617185:1618234:+,Bol032405  locus=Scaffold000049:1627443:1631303:+
Bol013476  locus=Scaffold000186:268422:273339:+,Bol013479  locus=Scaffold000186:293356:294924:+,Bol032405  locus=Scaffold000049:1627443:1631303:+,Bol032406  locus=Scaffold000049:1631539:1633051:-
Bol013479  locus=Scaffold000186:293356:294924:+,Bol013481  locus=Scaffold000186:321136:323497:+,Bol032406  locus=Scaffold000049:1631539:1633051:-,Bol013473  locus=Scaffold000186:242573:243212:+
Bol013480  locus=Scaffold000186:310955:316900:+,Bol013486  locus=Scaffold000186:380942:382493:+,Bol013473  locus=Scaffold000186:242573:243212:+,Bol032408  locus=Scaffold000049:1637073:1639507:+
Bol013481  locus=Scaffold000186:321136:323497:+,Bol013488  locus=Scaffold000186:401011:403975:-,Bol032408  locus=Scaffold000049:1637073:1639507:+,Bol013475  locus=Scaffold000186:251510:252602:-
Bol013482  locus=Scaffold000186:337732:339960:-,Bol013489  locus=Scaffold000186:410450:416183:+,Bol013475  locus=Scaffold000186:251510:252602:-,Bol013476  locus=Scaffold000186:268422:273339:+
Bol013486  locus=Scaffold000186:380942:382493:+,Bol013491  locus=Scaffold000186:424682:428225:+,Bol013476  locus=Scaffold000186:268422:273339:+,Bol032410  locus=Scaffold000049:1647806:1651173:+
Bol013488  locus=Scaffold000186:401011:403975:-,Bol013492  locus=Scaffold000186:428955:431715:-,Bol032410  locus=Scaffold000049:1647806:1651173:+,Bol032411  locus=Scaffold000049:1652015:1655451:-
Bol013489  locus=Scaffold000186:410450:416183:+,Bol013493  locus=Scaffold000186:432772:435410:-,Bol032411  locus=Scaffold000049:1652015:1655451:-,Bol032415  locus=Scaffold000049:1673433:1673965:-
Bol013491  locus=Scaffold000186:424682:428225:+,Bol013498  locus=Scaffold000186:466570:469515:+,Bol032415  locus=Scaffold000049:1673433:1673965:-,Bol013481  locus=Scaffold000186:321136:323497:+
Bol013492  locus=Scaffold000186:428955:431715:-,Bol013499  locus=Scaffold000186:470478:473598:-,Bol013481  locus=Scaffold000186:321136:323497:+,Bol013486  locus=Scaffold000186:380942:382493:+
Bol013493  locus=Scaffold000186:432772:435410:-,Bol013501  locus=Scaffold000186:483466:485391:-,Bol013486  locus=Scaffold000186:380942:382493:+,Bol032421  locus=Scaffold000049:1702726:1703740:+
Bol013498  locus=Scaffold000186:466570:469515:+,Bol013502  locus=Scaffold000186:494495:497387:+,Bol032421  locus=Scaffold000049:1702726:1703740:+,Bol032423  locus=Scaffold000049:1710497:1711648:+
Bol013499  locus=Scaffold000186:470478:473598:-,Bol013506  locus=Scaffold000186:520742:522331:-,Bol032423  locus=Scaffold000049:1710497:1711648:+,Bol013489  locus=Scaffold000186:410450:416183:+
Bol013501  locus=Scaffold000186:483466:485391:-,Bol013509  locus=Scaffold000186:632817:633417:-,Bol013489  locus=Scaffold000186:410450:416183:+,Bol013492  locus=Scaffold000186:428955:431715:-
Bol013502  locus=Scaffold000186:494495:497387:+,Bol013511  locus=Scaffold000186:672188:675974:-,Bol013492  locus=Scaffold000186:428955:431715:-,Bol032429  locus=Scaffold000049:1798568:1800428:-
Bol013505  locus=Scaffold000186:518751:520314:+,Bol013512  locus=Scaffold000186:676980:678298:-,Bol032429  locus=Scaffold000049:1798568:1800428:-,Bol013498  locus=Scaffold000186:466570:469515:+
Bol013506  locus=Scaffold000186:520742:522331:-,Bol013513  locus=Scaffold000186:679935:682167:-,Bol013498  locus=Scaffold000186:466570:469515:+,Bol013502  locus=Scaffold000186:494495:497387:+
Bol013508  locus=Scaffold000186:602981:606566:+,Bol013527  locus=Scaffold000186:1024580:1024921:+,Bol013502  locus=Scaffold000186:494495:497387:+,Bol032438  locus=Scaffold000049:1862803:1866046:-
Bol013509  locus=Scaffold000186:632817:633417:-,Bol013528  locus=Scaffold000186:1063333:1064451:+,Bol032438  locus=Scaffold000049:1862803:1866046:-,Bol032439  locus=Scaffold000049:1879260:1882517:+
